date,region,total_cc,imported_cc,sub_total_epilinks_cc,shincheonji_cc,small_clusters_cc,contacts_cc,epi_link_imported_cc,other_cc,new_cc,other_major_epilinks
04/04/2020,"Jeon-
nam",15,7,7,1,3,2,1,1,0,Manmin Central Church  (2)
04/04/2020,Gyeong- buk,1310,8,1167,562,414,190,1,135,1,"Cheongdo  Daenam Hospital (120),  Bonghwa Pureun Nursing Home (68),  pilgrimage  to Israel (49),  Gyeongsan  Seo
Convalescent  Hospital  (59), etc."
04/04/2020,Gyeong- nam,108,12,79,32,42,5,0,17,1,"Geochang  Church  (10), Geochang  Woongyang-myeon
(8),  Wings  Tower  (8), etc."
04/04/2020,Jeju,9,5,0,0,0,0,0,4,0,
04/04/2020,Airport,279,279,0,0,0,0,0,0,15,
04/04/2020,Total,10156,688,8397,5178,1862,1254,103,1071,94,
05/04/2020,Seoul,552,179,334,7,244,29,54,39,24,"Guro-gu  call  center (98),
Dong-an Church-PC Cafe  (20), Manmin  Central Church  (40),
etc."
05/04/2020,Busan,122,12,80,12,50,18,0,30,0,"Onchun Church  (39),
Suyeong-gu Kindergarten (5), etc."
05/04/2020,Daegu,6768,10,6041,4506,614,918,3,717,7,"Second  Mi-Ju  Hospital (171), Hansarang  Convalescent Hospital  (124), Daesil
Convalescent  Hospital  (98), etc."
05/04/2020,Incheon,79,31,44,2,34,4,4,4,2,"Guro-gu call  center (20),  etc."
05/04/2020,Gwangju,27,11,16,9,0,1,6,0,1,
05/04/2020,Daejeon,37,6,22,2,11,9,0,9,1,"Korea Forest Engineer  Institute
(3),  etc."
05/04/2020,Ulsan,40,9,24,16,1,4,3,7,0,
05/04/2020,Sejong,46,3,42,1,38,3,0,1,0,"Ministry of Oceans  and Fisheries
(30),  gym facilities  (8)"
05/04/2020,Gyeonggi,572,114,411,29,282,61,39,47,10,"Grace  River Church  in Seongnam  (72), Guro-gu call center-Bucheon  SaengMyeongSu Church  (48), Uijeongbu  St.
Mary’s  Hospital (27),  etc."
05/04/2020,Gangwon,45,9,28,17,10,1,0,8,3,"Apartments  in  Wonju City   (3),
etc."
05/04/2020,"Chung-
buk",45,5,32,6,18,6,2,8,0,"Goesan-gun  Jangyeon-myeon
(11)"
05/04/2020,Chung- nam,135,8,119,0,117,1,1,8,0,"Gym  facilities  in  Cheonan (103), research  center  in Seosan (9),
etc."
05/04/2020,"Jeon-
buk",16,7,3,1,2,0,0,6,1,
05/04/2020,"Jeon-
nam",15,7,7,1,3,2,1,1,0,Manmin Central Church  (2)
05/04/2020,Gyeong- buk,1314,9,1172,566,415,190,1,133,4,"Cheongdo  Daenam Hospital (120),  Bonghwa Pureun Nursing Home (68),  pilgrimage  to Israel (49),  Gyeongsan  Seo
Convalescent  Hospital  (59), etc."
05/04/2020,Gyeong- nam,109,12,80,32,42,6,0,17,1,"Geochang  Church  (10), Geochang  Woongyang-myeon
(8),  Wings  Tower  (8), etc."
05/04/2020,Jeju,12,6,1,0,0,0,1,5,3,
05/04/2020,Airport,303,303,0,0,0,0,0,0,24,
05/04/2020,Total,10237,741,8454,5208,1878,1253,115,1042,81,
